# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/scratch/hodgskiss/Cu_Project/featurecounts/GCA_000698785.1_ASM69878v1_genomic.gff" "-t" "gene" "-g" "ID" "-o" "./featurecounts/cu_counts.txt" "/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam
gene1512	CP007536.1	1209670	1210233	-	564	125	188	124	265	239	271	189	229	177	131
gene1513	CP007536.1	1210391	1210924	-	534	775	678	608	1656	1221	361	260	430	366	274
gene1514	CP007536.1	1210933	1211451	-	519	3622	4945	3423	7709	5792	937	797	1344	1053	629
gene1515	CP007536.1	1211453	1211860	-	408	3388	4639	3221	7730	5725	630	689	1027	920	523
gene1516	CP007536.1	1211929	1213860	-	1932	6762	9622	6772	16138	11521	309	542	2017	1958	1237
gene1517	CP007536.1	1213884	1214639	-	756	7944	11568	8402	17927	13999	265	567	2266	1855	1309
gene1518	CP007536.1	1214717	1217683	-	2967	9777	12043	8679	21171	14982	2154	2078	4122	3648	2491
gene1519	CP007536.1	1218206	1218691	+	486	17	35	17	50	54	34	38	58	53	30
gene1520	CP007536.1	1219032	1219265	+	234	24	39	18	58	29	43	28	40	47	35
gene1521	CP007536.1	1219396	1220088	+	693	4195	5706	3913	9207	6829	1877	2016	2979	2531	1804
gene1522	CP007536.1	1220085	1220645	-	561	1009	1406	1066	2343	1535	923	819	1059	1032	834
gene1523	CP007536.1	1220649	1221131	-	483	78	68	52	173	106	143	112	149	132	126
gene1524	CP007536.1	1221190	1222017	-	828	4099	5046	4019	9630	7050	9159	8434	10844	8873	7654
gene1525	CP007536.1	1222125	1223039	+	915	175	160	147	333	233	343	300	404	372	330
gene1526	CP007536.1	1223049	1223360	-	312	1569	1853	1410	2959	2412	3222	2895	3314	3072	2358
gene1527	CP007536.1	1223371	1224684	-	1314	5657	7470	5573	12710	9360	13397	11378	13610	11898	9342
gene1528	CP007536.1	1224877	1226001	+	1125	723	1114	782	1774	1332	1691	1334	1766	1582	1113
gene1529	CP007536.1	1225998	1226681	+	684	272	299	215	562	434	602	473	539	531	385
gene1530	CP007536.1	1226755	1227816	+	1062	80	145	116	236	154	170	157	177	163	139
gene1531	CP007536.1	1227806	1228438	-	633	30	49	42	72	61	88	91	100	69	54
gene1532	CP007536.1	1228543	1231221	+	2679	633	805	547	1470	1092	1147	915	1205	1019	760
gene1533	CP007536.1	1231317	1231553	+	237	56	26	31	114	106	99	85	92	82	58
gene1534	CP007536.1	1231705	1233216	-	1512	2837	3002	2222	5981	4552	5216	3060	2900	2599	1931
gene1535	CP007536.1	1233413	1233820	-	408	746	1005	668	1824	924	762	719	827	892	711
gene1536	CP007536.1	1233855	1234268	-	414	1096	1535	1081	2728	1660	1262	1295	1643	1694	1390
gene1537	CP007536.1	1234373	1234654	+	282	265	352	244	613	482	256	278	371	329	240
gene1538	CP007536.1	1234644	1235267	+	624	410	377	286	763	560	345	248	304	299	241
gene1539	CP007536.1	1235331	1235501	+	171	124	151	134	347	265	197	237	315	300	166
gene1540	CP007536.1	1235502	1235753	-	252	116	107	88	233	132	132	71	119	145	81
gene1541	CP007536.1	1235723	1236268	-	546	231	308	243	540	389	232	172	250	222	125
gene1542	CP007536.1	1236304	1236648	+	345	460	552	448	865	667	508	594	708	784	549
gene1543	CP007536.1	1236669	1236824	-	156	293	495	345	635	502	389	482	584	560	473
gene1544	CP007536.1	1236870	1237214	-	345	196	311	202	428	273	284	355	431	423	303
gene1545	CP007536.1	1237328	1237936	-	609	252	295	191	591	370	156	156	187	190	137
gene1546	CP007536.1	1238044	1238808	-	765	314	420	264	685	550	302	249	304	270	221
gene1547	CP007536.1	1238875	1239834	-	960	201	261	214	398	342	493	344	401	346	261
gene1548	CP007536.1	1239831	1240487	-	657	123	99	86	217	153	200	186	196	173	149
gene1549	CP007536.1	1240532	1240948	-	417	406	432	385	880	678	532	472	541	539	357
gene1550	CP007536.1	1240999	1242645	-	1647	497	581	470	1132	880	977	784	962	794	636
gene1551	CP007536.1	1242652	1244250	-	1599	322	455	297	701	575	517	473	618	541	398
gene1552	CP007536.1	1244299	1245360	-	1062	146	211	159	298	238	384	321	392	367	306
gene1553	CP007536.1	1245536	1245739	+	204	2	2	4	2	2	4	2	5	3	1
gene1554	CP007536.1	1245729	1245950	+	222	24	29	34	69	47	56	39	43	52	39
gene1555	CP007536.1	1245955	1246911	-	957	494	530	368	940	801	630	454	532	497	351
gene1556	CP007536.1	1246908	1247567	-	660	532	732	471	1191	986	782	536	681	597	480
gene1557	CP007536.1	1247603	1248337	-	735	108	146	108	237	199	94	74	98	83	86
gene1558	CP007536.1	1248300	1248803	-	504	155	233	140	344	221	122	101	118	108	95
gene1559	CP007536.1	1248820	1249212	-	393	72	113	73	136	112	51	29	45	53	36
gene1560	CP007536.1	1249209	1250783	-	1575	457	714	416	1010	755	353	257	450	383	322
gene1561	CP007536.1	1250895	1252622	-	1728	1169	1867	1140	3302	2398	1288	886	1056	950	919
gene1562	CP007536.1	1252637	1253083	-	447	266	400	260	679	433	266	225	251	210	208
gene1563	CP007536.1	1253090	1253392	-	303	139	187	114	332	241	103	92	113	134	92
gene1564	CP007536.1	1253553	1254158	-	606	19	45	30	53	52	18	12	16	16	16
gene1565	CP007536.1	1254241	1255353	-	1113	74	105	92	156	139	81	46	69	58	49
gene1566	CP007536.1	1255606	1257927	-	2322	115	142	90	163	143	84	51	113	74	80
gene1567	CP007536.1	1258072	1258611	+	540	239	336	292	461	416	458	317	455	414	297
gene1568	CP007536.1	1258637	1259500	-	864	90	146	97	191	154	117	106	96	121	107
gene1569	CP007536.1	1259665	1260303	-	639	89	79	72	185	161	214	125	124	117	60
gene1570	CP007536.1	1260396	1260599	-	204	12	15	23	17	19	6	12	23	21	21
gene1571	CP007536.1	1260787	1261263	-	477	60	86	85	139	86	120	83	141	92	96
gene1572	CP007536.1	1261351	1261854	-	504	58	56	46	119	100	92	62	89	91	67
gene1573	CP007536.1	1261927	1262088	-	162	108	233	155	352	286	270	376	474	474	340
gene1574	CP007536.1	1262281	1262802	-	522	118	131	85	226	169	189	143	183	183	138
gene1575	CP007536.1	1262872	1264395	-	1524	18	18	15	35	20	23	19	26	23	20
gene1576	CP007536.1	1264479	1264751	-	273	14	11	11	27	18	12	17	13	27	19
gene1577	CP007536.1	1264928	1265677	+	750	202	299	212	484	336	304	159	232	192	159
gene1578	CP007536.1	1265714	1265785	+	72	4	4	4	15	8	0	3	1	4	5
gene1579	CP007536.1	1265792	1266940	+	1149	74	126	68	180	154	120	66	105	93	83
gene1580	CP007536.1	1266944	1267339	+	396	9	14	8	24	12	9	3	8	8	7
gene1581	CP007536.1	1267349	1268242	-	894	50	47	31	67	71	21	17	41	37	27
gene1582	CP007536.1	1268245	1268976	-	732	91	133	91	234	188	110	89	140	124	98
gene1583	CP007536.1	1268973	1269995	-	1023	118	184	158	250	185	105	89	135	141	101
gene1584	CP007536.1	1270193	1270396	+	204	2	17	6	8	6	15	27	10	11	7
gene1585	CP007536.1	1270574	1270789	+	216	6	4	5	12	12	8	9	12	10	6
gene1586	CP007536.1	1270960	1271370	-	411	12	27	21	33	33	21	26	35	42	24
gene1587	CP007536.1	1271559	1272005	-	447	349	455	356	773	584	389	269	324	272	206
gene1588	CP007536.1	1272099	1272266	+	168	1	2	2	3	7	2	2	1	2	4
gene1589	CP007536.1	1272263	1273978	-	1716	323	486	334	660	509	423	388	444	423	317
gene1590	CP007536.1	1274184	1274486	+	303	30	41	28	71	52	80	33	45	61	37
gene1591	CP007536.1	1274496	1274861	+	366	48	54	41	99	85	131	53	57	61	59
gene1592	CP007536.1	1274858	1276573	+	1716	130	165	115	322	224	295	167	188	165	166
gene1593	CP007536.1	1276629	1276883	+	255	75	135	88	139	141	113	106	136	132	124
gene1594	CP007536.1	1276992	1278170	+	1179	627	845	611	1296	1093	689	575	718	642	453
gene1595	CP007536.1	1278167	1278445	-	279	95	87	94	179	183	214	142	235	208	162
gene1596	CP007536.1	1278650	1279732	+	1083	767	1043	790	1581	1277	1470	1229	1950	1625	1299
gene1597	CP007536.1	1279736	1280782	-	1047	555	753	564	1154	988	913	730	733	629	442
gene1598	CP007536.1	1280967	1281584	+	618	140	169	116	287	238	309	189	228	189	151
gene1599	CP007536.1	1281579	1282730	-	1152	49	39	31	77	69	71	57	76	81	44
gene1600	CP007536.1	1282768	1283472	-	705	42	74	57	101	77	149	87	133	124	93
gene1601	CP007536.1	1283485	1286130	+	2646	357	452	343	856	678	670	465	496	421	293
gene1602	CP007536.1	1286175	1287860	+	1686	837	1120	828	2079	1558	2177	1559	1868	1615	1210
gene1603	CP007536.1	1287921	1289459	+	1539	642	784	545	1406	1156	1173	780	954	803	626
gene1604	CP007536.1	1289527	1290150	+	624	177	206	179	329	299	301	256	370	385	290
gene1605	CP007536.1	1290201	1290275	+	75	3	8	8	11	12	11	13	9	16	19
gene1606	CP007536.1	1290396	1290602	+	207	42	82	57	109	82	56	74	86	93	63
gene1607	CP007536.1	1291015	1292727	-	1713	250	279	241	456	388	239	168	223	212	192
gene1608	CP007536.1	1292800	1293153	-	354	41	42	33	77	72	46	33	51	52	45
gene1609	CP007536.1	1293547	1293620	+	74	13	23	15	28	21	24	23	31	24	19
gene1610	CP007536.1	1293630	1295039	-	1410	377	411	317	668	578	901	620	683	656	448
gene1611	CP007536.1	1295076	1296548	+	1473	377	557	395	763	645	668	578	747	670	531
gene1612	CP007536.1	1296545	1296952	+	408	76	100	67	178	134	149	145	190	184	108
gene1613	CP007536.1	1296945	1297292	+	348	190	201	176	324	347	369	374	444	421	303
gene1614	CP007536.1	1297289	1297696	-	408	566	774	595	1021	871	1211	1096	1270	1253	818
gene1615	CP007536.1	1297739	1298524	-	786	716	807	536	1180	1170	987	641	635	511	414
gene1616	CP007536.1	1298535	1299368	-	834	368	458	298	719	586	570	406	493	407	345
gene1617	CP007536.1	1299374	1299700	-	327	430	518	404	888	691	635	496	641	534	417
gene1618	CP007536.1	1299804	1299917	+	114	0	0	0	3	0	0	2	3	1	1
gene1619	CP007536.1	1299918	1301066	+	1149	238	325	243	564	454	561	325	412	362	278
gene1620	CP007536.1	1301067	1301729	-	663	429	533	382	847	623	610	497	616	580	441
gene1621	CP007536.1	1301976	1303055	+	1080	157	243	191	357	278	87	58	120	112	76
gene1622	CP007536.1	1303024	1303548	+	525	64	59	31	96	71	74	51	50	45	37
gene1623	CP007536.1	1303541	1303687	-	147	10	15	9	12	8	14	17	18	10	11
gene1624	CP007536.1	1303723	1304670	-	948	101	122	73	226	147	153	123	159	112	105
gene1625	CP007536.1	1304648	1305973	-	1326	256	302	269	579	447	590	405	415	344	286
gene1626	CP007536.1	1306168	1306443	+	276	6	6	7	12	6	6	7	4	3	1
gene1627	CP007536.1	1306793	1306866	+	74	2	3	5	3	2	3	2	3	1	1
gene1628	CP007536.1	1306979	1308634	-	1656	330	658	483	856	537	114	76	119	89	73
gene1629	CP007536.1	1308758	1308925	+	168	13	19	17	35	31	8	23	14	15	10
gene1630	CP007536.1	1309179	1309256	+	78	24	51	35	45	51	10	21	24	15	18
gene1631	CP007536.1	1309427	1309894	+	468	74	83	71	162	137	45	35	52	46	31
gene1632	CP007536.1	1310186	1311064	-	879	37	24	32	71	26	28	16	11	29	9
gene1633	CP007536.1	1311699	1312625	-	927	20	24	13	51	37	33	29	22	17	15
gene1634	CP007536.1	1312737	1313186	+	450	19	24	9	38	24	15	13	21	21	15
gene1635	CP007536.1	1313249	1313452	+	204	69	63	42	105	71	22	31	27	32	16
gene1636	CP007536.1	1313477	1313806	-	330	201	232	191	348	264	126	118	124	121	91
gene1637	CP007536.1	1313966	1314175	-	210	80	89	84	177	108	169	130	142	152	94
gene1638	CP007536.1	1314278	1314481	+	204	31	43	24	64	43	26	50	37	37	23
gene1639	CP007536.1	1314478	1314648	-	171	134	120	92	259	188	164	137	103	120	83
gene1640	CP007536.1	1314650	1314907	-	258	40	41	37	87	74	69	48	39	50	40
gene1641	CP007536.1	1315190	1315846	-	657	56	63	43	128	105	67	36	50	51	40
gene1642	CP007536.1	1315892	1315965	-	74	0	0	0	0	1	0	0	1	2	0
gene1643	CP007536.1	1316067	1317086	+	1020	124	132	99	232	177	158	106	133	125	117
gene1644	CP007536.1	1317125	1317865	+	741	92	91	101	190	121	161	97	154	152	94
gene1645	CP007536.1	1317953	1320289	+	2337	299	386	267	632	520	628	414	521	478	354
gene1646	CP007536.1	1320322	1320396	+	75	9	10	5	11	6	9	4	7	7	4
gene1647	CP007536.1	1320401	1320793	-	393	33	50	40	81	53	51	53	51	46	32
gene1648	CP007536.1	1320876	1321259	+	384	65	92	78	179	110	95	88	137	108	97
gene1649	CP007536.1	1321266	1321577	-	312	166	194	158	309	251	360	262	338	323	254
gene1650	CP007536.1	1321615	1322160	-	546	257	339	277	513	412	466	429	627	560	420
gene1651	CP007536.1	1322343	1322714	+	372	314	382	346	648	465	814	693	982	827	634
gene1652	CP007536.1	1322757	1323563	+	807	540	646	467	985	804	661	378	543	537	396
gene1653	CP007536.1	1323600	1323932	+	333	839	1181	888	1670	1163	905	999	1179	1114	958
gene1654	CP007536.1	1323969	1325069	+	1101	629	601	546	1314	942	1124	770	970	897	710
gene1655	CP007536.1	1325075	1325512	-	438	273	330	286	591	497	392	296	284	283	219
gene1656	CP007536.1	1325554	1326435	+	882	261	318	261	516	412	299	259	386	334	226
gene1657	CP007536.1	1326415	1327074	-	660	120	176	141	309	226	409	274	286	236	125
gene1658	CP007536.1	1327162	1327329	+	168	6	8	9	21	15	11	14	13	21	13
gene1659	CP007536.1	1327385	1327879	+	495	288	408	280	674	507	369	303	338	285	188
gene1660	CP007536.1	1327918	1328406	-	489	105	124	109	193	167	92	60	91	92	77
gene1661	CP007536.1	1328618	1328725	-	108	1	0	1	1	1	1	0	1	0	0
gene1662	CP007536.1	1328691	1330052	+	1362	43	59	37	111	77	68	40	71	44	43
gene1663	CP007536.1	1330197	1330400	+	204	29	19	24	67	40	38	45	48	68	45
gene1664	CP007536.1	1330557	1331171	+	615	110	162	138	247	235	127	119	151	152	115
gene1665	CP007536.1	1331236	1331421	+	186	21	21	23	40	26	17	15	20	17	12
gene1666	CP007536.1	1331587	1331967	-	381	52	58	50	95	88	88	89	103	87	73
gene1667	CP007536.1	1332534	1333169	+	636	20	32	18	63	48	52	48	55	44	25
gene1668	CP007536.1	1333216	1333791	+	576	24	19	11	39	25	29	31	32	29	18
gene1669	CP007536.1	1333999	1334334	-	336	281	327	276	519	407	226	231	334	280	220
gene1670	CP007536.1	1334424	1334753	-	330	105	167	111	265	171	111	78	123	92	76
gene1671	CP007536.1	1334786	1334902	+	117	1	0	0	1	2	0	0	0	0	0
gene1672	CP007536.1	1334911	1335225	+	315	117	174	120	253	183	46	54	78	89	67
gene1673	CP007536.1	1335347	1335505	-	159	82	219	121	212	214	73	213	332	447	352
gene1674	CP007536.1	1335694	1336623	-	930	75	94	90	160	107	47	46	70	67	44
gene1675	CP007536.1	1336717	1336887	-	171	8	14	4	19	12	16	10	10	18	9
gene1676	CP007536.1	1337034	1337201	+	168	2	3	2	1	2	2	6	8	4	8
gene1677	CP007536.1	1337633	1337761	-	129	1	6	2	11	6	2	10	5	5	2
gene1678	CP007536.1	1337930	1338589	+	660	21	39	30	62	39	12	13	19	18	18
gene1679	CP007536.1	1338751	1339440	-	690	43	25	24	72	46	56	40	56	61	42
gene1680	CP007536.1	1339600	1340424	+	825	64	95	63	148	93	79	65	93	115	97
gene1681	CP007536.1	1340479	1340649	+	171	7	9	5	13	10	10	9	12	14	11
gene1682	CP007536.1	1340624	1340998	+	375	50	42	36	80	55	142	130	156	122	84
gene1683	CP007536.1	1341099	1343393	-	2295	2559	3236	2377	5533	4385	6451	5224	6697	5793	4207
gene1684	CP007536.1	1343399	1344232	+	834	200	238	188	421	318	376	311	383	338	260
gene1685	CP007536.1	1344266	1344577	+	312	109	132	125	231	179	140	130	129	107	108
gene1686	CP007536.1	1344618	1345496	-	879	86	83	67	160	117	140	101	131	154	103
gene1687	CP007536.1	1345556	1346998	-	1443	65	92	66	133	107	74	67	84	85	58
gene1688	CP007536.1	1347066	1347950	-	885	73	103	74	181	107	132	79	88	91	67
gene1689	CP007536.1	1347947	1349497	-	1551	48	63	44	81	74	53	53	62	49	41
gene1690	CP007536.1	1349867	1350382	-	516	8	13	12	25	32	16	15	28	22	11
gene1691	CP007536.1	1350368	1350565	+	198	0	2	0	1	0	0	0	1	0	1
gene1692	CP007536.1	1350606	1352039	+	1434	84	138	98	212	160	166	110	111	104	81
gene1693	CP007536.1	1352040	1352279	-	240	5	0	0	1	1	0	0	2	1	1
gene1694	CP007536.1	1352328	1353785	-	1458	30	36	24	51	36	40	43	71	43	35
gene1695	CP007536.1	1353989	1354924	-	936	22	36	24	69	44	23	30	38	41	20
gene1696	CP007536.1	1354924	1355991	-	1068	33	55	42	100	71	54	46	49	62	34
gene1697	CP007536.1	1355988	1357523	-	1536	60	80	61	141	105	94	73	97	93	58
gene1698	CP007536.1	1357913	1359556	+	1644	108	166	105	217	146	174	128	160	143	102
gene1699	CP007536.1	1359563	1359742	+	180	3	2	4	5	8	3	2	3	6	4
gene1700	CP007536.1	1359749	1360729	+	981	21	21	18	32	22	40	29	53	43	26
gene1701	CP007536.1	1360810	1362720	+	1911	48	65	51	116	79	119	89	133	106	67
gene1702	CP007536.1	1362826	1364088	+	1263	99	111	72	211	172	250	203	226	203	153
gene1703	CP007536.1	1364092	1365210	-	1119	429	514	428	838	779	845	652	808	699	503
gene1704	CP007536.1	1365300	1366427	+	1128	708	825	673	1477	1106	1063	781	912	838	604
gene1705	CP007536.1	1366440	1367390	-	951	147	152	119	360	260	492	368	357	304	236
gene1706	CP007536.1	1367409	1368866	-	1458	470	577	428	1024	757	1220	929	1018	829	691
gene1707	CP007536.1	1368881	1369291	-	411	170	245	192	437	270	407	331	422	371	258
gene1708	CP007536.1	1369352	1369987	-	636	21	13	9	20	19	21	14	12	19	11
gene1709	CP007536.1	1370097	1370477	+	381	449	614	407	1044	884	965	745	1095	883	641
gene1710	CP007536.1	1370479	1370688	+	210	391	440	375	822	650	750	614	746	641	476
gene1711	CP007536.1	1370698	1372353	-	1656	328	348	265	661	550	708	554	604	552	431
gene1712	CP007536.1	1372346	1373101	-	756	346	435	322	711	542	774	544	606	562	449
gene1713	CP007536.1	1373344	1374021	+	678	153	180	146	320	207	111	88	86	100	71
gene1714	CP007536.1	1374243	1374635	+	393	44	92	65	151	77	18	20	17	9	11
gene1715	CP007536.1	1374784	1375620	-	837	61	79	62	152	125	108	89	78	84	70
gene1716	CP007536.1	1375667	1376806	-	1140	362	409	273	730	560	493	386	422	403	311
gene1717	CP007536.1	1376799	1378172	-	1374	2492	3695	2541	5778	4588	3360	2681	3650	3014	2292
gene1718	CP007536.1	1378181	1378876	-	696	33	51	45	75	56	157	159	139	122	98
gene1719	CP007536.1	1378953	1379792	+	840	222	236	170	422	321	473	326	320	266	213
gene1720	CP007536.1	1379789	1382926	+	3138	896	1161	876	1927	1485	812	565	840	831	573
gene1721	CP007536.1	1382961	1384010	+	1050	246	262	217	517	415	547	439	513	457	343
gene1722	CP007536.1	1384007	1385455	+	1449	194	218	181	450	326	316	341	400	355	261
gene1723	CP007536.1	1385590	1385979	-	390	604	816	584	1413	1020	1050	882	1271	1106	779
gene1724	CP007536.1	1386058	1386222	-	165	91	144	118	202	180	62	94	92	124	81
gene1725	CP007536.1	1386284	1386892	-	609	221	294	218	448	369	283	324	690	701	437
gene1726	CP007536.1	1387029	1387982	-	954	302	396	278	620	499	883	720	839	687	493
gene1727	CP007536.1	1388099	1389067	+	969	345	425	324	621	606	623	504	620	502	387
gene1728	CP007536.1	1389330	1390724	+	1395	425	641	437	879	666	348	311	378	311	251
gene1729	CP007536.1	1391036	1391155	+	120	16	7	8	23	19	14	13	15	10	13
gene1730	CP007536.1	1391343	1392404	-	1062	763	967	683	1446	1299	1337	1203	1578	1334	1158
gene1731	CP007536.1	1392486	1392833	+	348	8	21	17	23	27	16	20	18	19	22
gene1732	CP007536.1	1392835	1393230	+	396	131	147	120	251	236	142	124	155	158	111
gene1733	CP007536.1	1393235	1394620	-	1386	312	393	284	639	447	641	527	653	588	485
gene1734	CP007536.1	1394682	1395269	-	588	10	30	14	36	31	34	8	12	21	8
gene1735	CP007536.1	1395331	1395798	-	468	7	5	3	6	2	5	5	1	1	2
gene1736	CP007536.1	1395974	1396924	-	951	59	67	45	97	69	11	14	16	8	5
gene1737	CP007536.1	1396965	1397675	-	711	76	109	75	152	91	20	9	21	18	12
gene1738	CP007536.1	1397861	1398316	+	456	21	21	18	40	29	16	4	17	23	15
gene1739	CP007536.1	1398482	1399153	-	672	25	29	18	47	38	26	32	41	44	20
gene1740	CP007536.1	1399227	1399700	-	474	10	14	15	22	12	37	32	34	38	21
gene1741	CP007536.1	1399699	1400637	+	939	331	473	353	725	551	845	706	1006	844	649
gene1742	CP007536.1	1400688	1401146	+	459	1552	1774	1275	2998	2357	3010	2673	3600	3361	2632
gene1743	CP007536.1	1401203	1401754	-	552	61	48	39	135	82	221	174	242	255	153
gene1744	CP007536.1	1401842	1402567	-	726	22	31	25	57	36	16	13	20	24	8
gene1745	CP007536.1	1402719	1403654	+	936	77	117	81	152	141	65	56	60	56	49
gene1746	CP007536.1	1403707	1404297	-	591	27	46	28	53	53	38	33	37	40	32
gene1747	CP007536.1	1404390	1405274	-	885	99	94	68	159	123	82	54	51	59	44
gene1748	CP007536.1	1405474	1406337	-	864	43	39	38	77	47	70	51	79	74	72
gene1749	CP007536.1	1406344	1406736	-	393	108	115	117	222	170	77	61	108	100	72
gene1750	CP007536.1	1406815	1407423	-	609	581	762	561	1235	952	59	54	66	76	53
gene1751	CP007536.1	1407636	1408097	-	462	327	295	239	703	572	310	404	577	552	476
gene1752	CP007536.1	1408054	1409235	-	1182	1144	1251	941	2566	1801	982	1139	1623	1369	1346
gene1753	CP007536.1	1409232	1410035	-	804	475	885	619	1281	773	491	602	953	875	828
gene1754	CP007536.1	1410032	1411084	-	1053	892	1898	1288	2124	1327	978	1143	1619	1372	1362
gene1755	CP007536.1	1411229	1412092	-	864	1127	1302	989	2434	1684	1611	1648	1871	1574	1468
gene1756	CP007536.1	1412099	1412272	-	174	347	455	303	840	470	427	433	515	479	450
gene1757	CP007536.1	1412289	1413521	-	1233	1466	2523	1766	3660	2388	1875	2042	2174	1794	1740
gene1758	CP007536.1	1413574	1414263	+	690	34	71	46	105	53	63	73	90	87	70
gene1759	CP007536.1	1414409	1414567	+	159	16	5	7	28	11	14	6	19	20	12
gene1760	CP007536.1	1414570	1414758	-	189	7	10	5	11	15	18	4	15	16	7
gene1761	CP007536.1	1414922	1415833	+	912	312	423	298	651	550	574	468	523	467	299
gene1762	CP007536.1	1415823	1416269	-	447	41	49	29	96	59	53	45	67	54	42
gene1763	CP007536.1	1416330	1416668	-	339	47	99	73	153	107	58	55	82	64	57
gene1764	CP007536.1	1416826	1417374	-	549	177	290	174	363	294	117	77	104	129	77
gene1765	CP007536.1	1417579	1418394	-	816	31	39	41	72	47	47	37	69	57	51
gene1766	CP007536.1	1418528	1418604	-	77	1	1	0	2	2	1	0	2	1	3
gene1767	CP007536.1	1418693	1418800	+	108	1	0	1	1	1	0	1	1	1	1
gene1768	CP007536.1	1418901	1419176	+	276	318	344	256	681	533	613	488	514	510	387
gene1769	CP007536.1	1419228	1419331	+	104	73	45	36	133	93	134	124	119	148	89
gene1770	CP007536.1	1419388	1419723	+	336	492	797	604	1311	1369	1574	1194	2286	1725	1272
gene1771	CP007536.1	1419651	1419751	-	101	137	97	81	210	166	312	284	323	347	185
gene1772	CP007536.1	1419811	1420044	-	234	261	387	265	570	426	34	50	69	79	45
gene1773	CP007536.1	1420031	1420438	-	408	160	318	191	426	330	38	39	41	46	25
gene1774	CP007536.1	1420669	1421559	-	891	1808	2125	1515	3795	2889	3485	3021	3928	3413	2468
gene1775	CP007536.1	1421566	1422276	-	711	1020	1296	968	2268	1667	2090	1834	2390	2144	1522
gene1776	CP007536.1	1422562	1423857	+	1296	2007	2423	2093	4277	2878	254	229	422	376	368
gene1777	CP007536.1	1424086	1424976	-	891	195	203	196	407	283	236	183	200	164	164
gene1778	CP007536.1	1424948	1425478	-	531	213	244	219	448	306	270	204	241	186	179
gene1779	CP007536.1	1425429	1426106	-	678	321	385	307	732	557	404	278	369	324	291
gene1780	CP007536.1	1426114	1426305	-	192	15	25	19	39	46	32	28	39	37	21
gene1781	CP007536.1	1426377	1427399	-	1023	320	237	216	795	526	664	449	501	515	377
gene1782	CP007536.1	1427444	1431052	-	3609	92142	103402	84538	256861	130704	163972	143545	167205	128120	128083
gene1783	CP007536.1	1431366	1431431	-	66	0	0	0	4	4	6	3	3	3	1
gene1784	CP007536.1	1431493	1431624	-	132	2	2	1	8	5	1	3	2	5	3
gene1785	CP007536.1	1431755	1432624	-	870	25	14	15	44	37	34	24	67	52	31
gene1786	CP007536.1	1432823	1433044	+	222	39	30	29	68	41	42	43	46	31	28
gene1787	CP007536.1	1433048	1433290	-	243	168	209	172	270	185	163	119	155	163	124
gene1788	CP007536.1	1433537	1435636	-	2100	342	424	297	761	550	543	387	457	433	329
gene1789	CP007536.1	1435633	1436790	-	1158	253	364	271	605	435	461	307	328	258	212
gene1790	CP007536.1	1437106	1437363	-	258	34	49	39	80	58	50	36	59	46	28
gene1791	CP007536.1	1437360	1437590	-	231	17	35	28	56	45	33	29	50	56	38
gene1792	CP007536.1	1437618	1437887	-	270	9	6	11	11	7	12	16	21	15	11
gene1793	CP007536.1	1437932	1439497	-	1566	351	477	337	828	601	805	576	721	611	447
gene1794	CP007536.1	1439490	1440329	-	840	131	190	123	308	196	301	232	247	190	167
gene1795	CP007536.1	1440371	1441678	-	1308	379	544	328	855	687	867	683	741	560	403
